strain,sex,id,mouse_num,CHOL,HDL,GLU,TG,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,RBC,pctRetic,RDW,MCH,MCHC,CHCM,HDW,MCV,cHGB,mHGB,HCT,PLT,MPV,pulse,pulse_std,systolic_BP,systolic_BP_std,CV,HR,HRV,R_amplitude,RS_amplitude,N,PQ,PR,QRS,QT,QT_dispersion,QTc,QTc_dispersion,RR,ST,BMC,BMD,bone_area,total_area,LTM,pct_fat,TTM,bw
129SNODF1,f,CDF1F02,89831,111,100.7,147,111,10.93,83.9,12.4,1.1,0.4,1.4,0.8,9.46,3.6,13.3,17,33.4,31.5,1.71,50.8,15.2,16,48.1,1260,9.5,,,,,,,,,,,,,,,,,,,,0.34,0.07,5.95,11.45,9.95,17.51,12.41,27.47
129SNODF1,f,CDF1F03,89832,108,96.4,189,102,9.42,83.2,13.4,0.6,0.2,1.9,0.6,9.84,3.1,13.4,17.5,34.3,31.4,1.68,51.1,15.8,17.2,50.3,1289,12.3,,,,,,,,,,,,,,,,,,,,0.36,0.08,6.09,11.92,9.35,19.69,12.01,26.42
129SNODF1,f,CDF1F04,89833,94,87.5,181,104,10.72,85.2,11.4,1.1,0.2,1.4,0.7,9.82,3.6,13.5,17.3,33.7,31.3,1.71,51.2,15.7,17,50.3,1385,11.6,,,,,,,,,,,,,,,,,,,,0.33,0.08,5.64,11.12,9.3,17.89,11.64,25.57
129SNODF1,f,CDF1F05,89834,103,92.1,189,98,10.69,80.2,15.4,1,0.4,2.4,0.6,9.38,3.6,13.7,17.2,33.8,31.6,1.73,50.9,15.1,16.1,47.7,1017,9.8,,,,,,,,,,,,,,,,,,,,0.35,0.08,5.86,10.52,9.4,15.13,11.27,24.6
129SNZOF1,f,CEF1F04,86316,121,108.1,171,103,8.78,84.6,10.9,0.7,0.2,2.5,1,9.88,1.1,13.6,15.8,34,32.3,1.59,46.5,14.8,15.6,45.9,1039,4.6,596,49.3,129,12.1,2.03,661,13.4,387.88,486.64,28,25.5,33.8,11.8,45.6,23.5,47.9,24.4,90.8,34.4,0.31,0.07,5.36,13.06,10.15,31.29,15.44,32.65
129SNZOF1,f,CEF1F05,86317,130,114.4,177,102,9.93,84.2,12.5,0.7,0.2,1.9,0.6,10.53,1.3,13.2,15.7,33.1,31.4,1.52,47.5,15.7,16.5,50,927,4.9,609,74,116,34.2,7.28,619,45,456.63,593.49,18,25.2,33.3,11.7,44.6,38.5,45.1,33.3,97.5,33.4,0.3,0.07,5.24,12.42,9.9,26.33,14.07,30.25
129SNZOF1,f,CEF1F06,461047,132,129.7,171,138,8.29,81,13.2,1.2,1.1,2.8,0.6,9.95,2,13.8,15.7,36,35.6,2.36,43.6,15.5,15.6,43.4,800,4.1,,,,,2.81,731,20.5,206.41,412.44,31,17.8,22.6,9.1,42,29.5,46.3,30.8,82.2,33.4,0.63,0.05,11.06,24.29,20.4,25.18,27.33,28.35
129SNZOF1,f,CEF1F07,461048,127,124.7,166,153,8.93,82.1,10.1,1.3,0.8,4.8,0.8,9.84,2.4,15.2,16.2,36.4,35.2,2.39,44.5,15.4,15.9,43.8,823,4.2,,,,,0.88,764,6.7,321.62,499.51,36,15.6,20,8.9,39.8,25,44.9,28.1,78.5,31.3,0.61,0.05,10.3,24.59,20.4,27.55,28.2,28.55
129SNZOF1,f,CEF1F08,461049,135,133,167,153,7.88,81.2,12.5,1.3,1.3,2.8,0.9,10.1,1.9,13.7,16,36.6,35.5,2.34,43.6,15.6,16.1,44.1,818,4.2,,,,,1.65,729,12,355.58,604.2,30,25.1,32.1,10.4,41.1,29.5,45.3,32.5,82.3,31.2,0.57,0.05,10.59,25.18,21.4,25.52,28.74,29.49
129SNZOF1,f,CEF1F09,461050,128,131.7,169,94,11.51,83.4,11.5,1.3,0.7,2.5,0.5,9.84,2.4,13.7,15.5,35.9,35.6,2.39,43.2,15.1,15.2,42.5,807,4.2,,,,,1.55,783,12.2,252.78,313.69,33,22.9,30.2,10.5,39.9,18.5,45.6,20.6,76.6,29.9,0.44,0.04,9.15,23.95,18.5,31.25,26.9,28.11
129SNZOF1,f,CEF1F10,461051,124,126.1,154,126,10.34,82.1,11.8,1.4,0.7,3.2,0.8,10.13,2.4,14.5,15.8,36.1,35.5,2.42,43.8,15.7,16,44.4,926,4.2,,,,,1.02,773,7.9,254.62,440.57,33,22.4,29.9,11.2,40.1,22,45.6,24.6,77.6,29.4,0.65,0.05,11.54,25.42,23.1,23.32,30.12,31.12
129SNZOF1,m,CEF1F01,86313,122,109.9,174,80,9.38,84.6,11.9,0.6,0.2,1.6,1.1,10.07,1.1,13.5,15.4,33.2,32.2,1.59,46.3,15,15.5,46.6,676,5.1,706,20.6,144,5.24,0.62,751,4.7,516.14,705.34,30,23.6,31.1,11.1,42.5,20.5,47.6,23,79.9,31.9,0.32,0.07,5.45,12.7,9.85,28.79,14.4,31.03
129SNZOF1,m,CEF1F02,86314,141,123.6,177,70,8.38,80.7,15.6,1,0.2,1.5,1.1,10.39,1.2,13.2,15.6,33.4,31.8,1.51,46.7,15.4,16.2,48.5,982,4.7,680,53.6,135,13,3.17,758,24,457.18,446.37,28,22.1,30,11.4,42.1,23.5,47.4,25.7,79.2,31.2,0.29,0.07,5.22,12.94,9.95,29.54,15.25,32.39
129SNZOF1,m,CEF1F03,86315,137,123.6,179,109,8.22,85.1,11.4,0.8,0.1,1.7,0.9,9.99,0.8,13.6,15.7,32.9,31.4,1.49,47.8,15,15.7,47.8,799,4.8,648,48,136,14.4,4,675,27,383.52,495.48,25,21.4,29.6,11.5,42.6,25,45.2,25.7,89,31.6,0.31,0.07,5.16,12.81,10.25,31.87,15.73,33.57
129SNZOF1,m,CEF1M01,85840,182,162,179,183,7.14,85.3,11.3,1.5,0.2,1.1,0.6,9.82,1.6,12.8,15.5,33,31.4,1.61,46.9,14.5,15.2,46.1,1040,4.6,,,,,1.32,751,9.9,250.68,487.31,30,21.9,29.4,11,43.1,16,48.2,17.7,79.9,32.6,0.25,0.07,4.52,13.4,11.6,30.57,18.35,38.7
129SNZOF1,m,CEF1M02,85841,178,162.3,162,124,8.13,84.7,11,1.8,0.2,1.9,0.5,10.17,1.6,12.9,15.3,32.4,31.3,1.57,47.3,15,15.6,48,1066,4.6,656,60.5,130,28.2,2.74,701,19.2,251.9,350.59,25,19.2,27.4,11.4,43.5,15,47,15.8,85.7,32.6,0.28,0.06,5.17,14.02,11.6,31.95,18.2,38.51
129SNZOF1,m,CEF1M03,85842,171,146.1,142,171,7.34,83.4,12.8,1.6,0.2,1.3,0.7,9.98,1.9,13.1,15.7,33,31,1.67,47.6,14.7,15.7,47.5,1121,4.6,699,68.1,117,11.7,1.43,766,11,284.23,422.49,29,15.8,20.1,8.7,43.1,2,48.8,1.5,78.3,34.9,0.25,0.06,4.67,13.17,11.3,30.37,17.87,37.33
129SNZOF1,m,CEF1M04,85843,179,158.1,174,144,6.57,84.8,10.8,1.4,0.1,2.5,0.5,10.49,1.7,12.8,15.1,31.9,31.1,1.62,47.2,15.4,15.8,49.5,985,4.5,634,51.1,105,15.8,2.9,749,21.7,256.6,407.26,28,20.4,28.2,11.1,42.7,14,47.6,14.1,80.2,32.1,0.25,0.05,4.69,13.36,11.35,27.4,17.08,36.29
129SNZOF1,m,CEF1M05,91734,,,,,6.61,81.4,14.7,1.5,0.3,1.7,0.4,9.72,3.6,13.9,16.5,34.2,32.8,1.9,48.3,15.4,16,46.9,1428,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
129SNZOF1,m,CEF1M06,94306,168,151.8,202,129,6.36,86.6,9.2,1.1,0.4,2,0.8,9.79,4.5,13.1,15.9,33.5,31.8,2.46,47.5,14.8,15.6,46.5,1119,4.7,,,,,0.84,802,6.7,266.96,327.72,33,23.2,30.4,10.9,38.5,20,44.5,23.1,74.8,28,0.26,0.06,4.88,13.73,12.55,24.51,18,38.01
129SNZOF1,m,CEF1M07,461052,160,167.5,150,128,9.07,83.6,11.4,1.8,0.5,2.2,0.5,10.26,2.4,13.6,15.2,35.4,35.4,2.45,43,15.6,15.6,44.1,967,4.1,,,,,3.19,724,23.1,239.12,431.9,33,21.5,28.4,10.4,41.9,20,46.1,21.6,83,32,0.56,0.05,10.76,29.65,25.9,31.03,37.58,39.09
129SNZOF1,m,CEF1M08,461053,167,170.6,164,145,8.56,85.2,10.7,1.7,0.5,1.3,0.5,10.35,1.7,13.1,15.2,35.4,35.3,2.35,43.1,15.8,15.8,44.6,965,4.1,,,,,1.24,754,9.4,326.5,102.94,32,15.7,20.8,12,43.6,21,48.9,23.4,79.6,32.2,0.53,0.05,9.57,28.56,23.8,34.52,36.29,36.52
129SNZOF1,m,CEF1M09,461054,168,173.5,181,144,9.36,84.2,9.8,1.9,0.8,2.6,0.7,10.17,2,13.3,15.3,35.8,35.7,2.39,42.6,15.5,15.5,43.4,956,4,,,,,2.13,690,14.7,254.58,343.4,33,23.1,30.8,11.1,43.2,28,46.4,30.7,87,32.6,0.54,0.05,10.51,29.89,26.4,32.02,38.83,40.96
129SNZOF1,m,CEF1M10,461055,149,153,180,119,7.93,84,10.5,2,0.7,2.3,0.5,10.45,2.2,13.4,15.4,36.1,35.7,2.39,42.7,15.9,16.1,44.6,959,4,,,,,5.04,642,32.3,308.32,408.51,32,20.5,29.1,12,49.4,36.5,51.2,36.2,93.8,37.9,0.5,0.05,9.97,26.6,22.9,29.91,32.62,34.42
129SNZOF1,m,CEF1M11,461056,162,169.3,193,163,6.46,82.8,11.9,2,0.5,2.2,0.6,9.49,1.6,13.5,15.4,35.7,35.4,2.35,43.3,14.5,14.6,41.1,869,4.1,,,,,0.7,788,5.5,256.78,429.39,31,23.8,30.2,9.9,39,23.5,44.7,27.3,76.1,29.5,0.56,0.05,10.48,30.07,28,31.08,40.72,42.3
